INFO: text_id: D3865   uid: 0b70ec66b8c2446b8eb75e5b07cb820b
INFO: text_id: D3866   uid: f5ab60390cf74c1bab61606ef541448c
INFO: text_id: D3867   uid: 9688e46cfeae43749451097b9f81727b
INFO: text_id: D3871   uid: 4a797be5b8ef44118d2b48bca1453eb5
INFO: text_id: D3883   uid: af817e2f4f5445a2ae3f3db7d617cea8
INFO: text_id: D3884   uid: b8cdde2843e44f4494367a89a951a043
INFO: text_id: D3885   uid: ccea3f133f2243cd8ad1d4ec56632aa5
INFO: text_id: D3886   uid: 7e67282cf638468183f60beb6ad00c6a
INFO: text_id: D3887   uid: f72a9449693846a2a1c668061464a9e3
INFO: text_id: D3888   uid: 41c3a6db4fc44f999a940a1ee90c326a
INFO: text_id: D3898   uid: 8063545c5e2c484588c0db69dfa05dc3
INFO: text_id: D3902   uid: 9f5859750c384a568a9ac3f07450040b
INFO: text_id: D3908   uid: cf9376ae5bea4a2ca0e46202cfbffec5
INFO: text_id: D3925   uid: 007a82d0a3b3432f9cfde1363c63c05c
INFO: text_id: D3928   uid: 2f2b7990818f4717a113f3f7d80b109b
INFO: text_id: D3929   uid: 2505cf3d00e14d97bcb254c263a397e2
INFO: text_id: D3930   uid: 83b1455a705e4ce098730a8480d5d811
INFO: text_id: D3934   uid: 8d30780492744ba59638bb7091259303
INFO: text_id: D3937   uid: debecb84104d4b9cbebec992c6802533
INFO: text_id: D3939   uid: eeee32906d72435d8f684a595581eccc
INFO: text_id: D3940   uid: 3c784919f52a4177bd4224fd37555307
INFO: text_id: D3941   uid: b490379884eb4e8bafe540b03a690f0b
INFO: text_id: D3946   uid: 95b30ec3761a4d438e86ff35c3b6b3a4
INFO: text_id: D3947   uid: 44728c0de2e4481790c49b08d22b9f51
INFO: text_id: D3948   uid: 750f39b1732a4a5abcb4f183029e8a2c
INFO: text_id: D3949   uid: 94d1345298be43c1a2ca40eb1159dbc2
INFO: text_id: D3950   uid: c8fbe74f46bb40d1ad10d4dcb468ce5c
INFO: text_id: D3951   uid: 09cd33b5dabf4b8795af31f53d3f59e2
INFO: text_id: D3952   uid: 32b3b2fea15c4177aa41768f650e24b9
INFO: text_id: D3953   uid: 5381a59cc44d4a328ea09e0a7e86c170
INFO: text_id: D3954   uid: 59368f502f7e4e019fd94619c0539867
INFO: text_id: D3958   uid: 307a30d0f4d54b85ae5773da333e4e80
INFO: text_id: D3959   uid: 7237a5c8956b4793ab2dd4fa29aa0292
INFO: text_id: D3960   uid: 62bdf99d338d43f4a367f11ea5c26135
INFO: text_id: D3961   uid: 0b9478d397ff435796c45829f9a9aed1
INFO: text_id: D3966   uid: bdbd991cd8df4e009f45e7b8d641236a
INFO: text_id: D3969   uid: 3eb18b9a714745228bfe3c2605fbae43
INFO: text_id: D3973   uid: 4859ab25806248f597c8d96b616b3a0b
INFO: text_id: D3975   uid: 87d0489015b64f439bceff32b147e1f1
INFO: text_id: D3977   uid: 530772df518642529a123f6f3757e91b
INFO: text_id: D3981   uid: 2ba5dab7999c476cad1385fb1b298315
INFO: text_id: D3983   uid: 0862014968ce4a6fbdde04b82ad3c0cb
INFO: text_id: D3984   uid: d81e053fefd54679ab04b595f237ecd6
INFO: text_id: D3985   uid: e491d0de1ea24c66923a1b1829adae4c
INFO: text_id: D3986   uid: eca8d8c1f52341b8b72409bfdf341f2d
INFO: text_id: D3987   uid: f72acb7eee1649a5916ce8c06931ab8b
INFO: text_id: D3988   uid: 685c71e159b44a4bbe411e3316868541
INFO: text_id: D3989   uid: cee9b42b39f34516a16de5af8fdb145a
INFO: text_id: D3990   uid: 24ba10069a274620ad255f0ae1a2b4b0
INFO: text_id: D3993   uid: 8207b16a3df348f2a9cad8eba213b2b5
INFO: text_id: D3994   uid: c085c1c5f5ca41129bdca04fef281baf
INFO: text_id: D3995   uid: cba26fb161bf4af2be2505bb5ed35e65
INFO: text_id: D4000   uid: cc033bf911b54507be8260b20359e343
INFO: text_id: D4001   uid: d393fa265819427db17da78d14c3d81a
INFO: text_id: D4004   uid: c4691d6c75844119b159f687b2fe0236
INFO: text_id: D4005   uid: 9a821d1fe72c4a66a058b60fd4a69851
INFO: text_id: D4007   uid: f90c9621f78d4b0fabef635f5f116322
INFO: text_id: D4011   uid: ec6c38edb09a454a8bf87c862bd03b64
INFO: text_id: D4015   uid: 95a200fc1ee842e6ac830b8c21137b6b
INFO: text_id: D4016   uid: b5bf09bf13964af1a6b5958c0d11b213
INFO: text_id: D4025   uid: 690bc8f864284462bde8da8611a89293
INFO: text_id: D4026   uid: c547c3e76ebf4ceaa1cd23b0cd5dc109
INFO: text_id: D4027   uid: ef5f722ad62d42ef9bdcee02d74b2a8c
INFO: text_id: D4028   uid: 7cfe45b7dda44ff389735b1aaf985fb0
INFO: text_id: D4036   uid: 886ad630487f45b796274eaa8733b4d3
INFO: text_id: D4037   uid: 9c7d1c19675a4771ad98e1b774e45282
INFO: text_id: D4038   uid: ddc47762f65f4fefb2e8f0c6a87dcde0
INFO: text_id: D4044   uid: eb61a7a00b9f4509ae7649dce2fda294
INFO: text_id: D4048   uid: e1bd0434325f4382838eae73126f3fff
INFO: text_id: D4049   uid: b30fcbe302af45adbd2d3b3507c5877a
INFO: text_id: D4050   uid: 6da92c7e6cd8421e9328f74bf01f118a
INFO: text_id: D4052   uid: c4d2d6cf05844621b60f449fb0b9e165
INFO: text_id: D4055   uid: a8517599a7c9451ba398bf579f986c5c
INFO: text_id: D4056   uid: d6ba6b85786a42a6b1487043db53c507
INFO: text_id: D4057   uid: 36f74a47884542ff9cfd439e47ce93e7
INFO: text_id: D4058   uid: f939400d851c4913a92c0c022c4a3ec6
INFO: text_id: D4059   uid: 4866876a30024e618f870ecf7a724113
INFO: text_id: D4060   uid: bd5940b505154e1d94987c3e3325c0ec
INFO: text_id: D4061   uid: 564e341462064e3e83c56dbada69ce64
INFO: text_id: D4062   uid: a85df55c4e7c45e396b020549a16de9d
INFO: text_id: D4063   uid: b17937fc08bb4b719437075ed0843b01
INFO: text_id: D4067   uid: 62e71731d06d4feaabfcb7c80be4c696
INFO: text_id: D4068   uid: eb4012d98b284303acb028000a0e78f7
INFO: text_id: D4073   uid: f9ecbf723d34408fa5a7a45f5fe55141
INFO: text_id: D4074   uid: f8d0afc2c7b0467fb247744e8781d9ed
INFO: text_id: D4082   uid: a816e36d129741019bee596e5fead8fc
INFO: text_id: D4089   uid: aa7e47f82344499398dbf0a401a732ea
INFO: text_id: D4090   uid: 05831430fee742d9b9764ca16d199d72
INFO: text_id: D4095   uid: 813562f74de1410a93bcbc978932de08
INFO: text_id: D4101   uid: a7ce0375f8a749c1a2a741fabb68718c
INFO: text_id: D4102   uid: 0d490d26bdb548e7a2a0f17adc620d2c
INFO: text_id: D4103   uid: 238e72df60374d369e8d2adb406c2a38
INFO: text_id: D4117   uid: 3ed79305f8c344fa9b7bd5c97acca853
INFO: text_id: D4118   uid: a1ddf946e8ae47a083ca0e8581aa0f83
INFO: text_id: D4119   uid: ecadf51192924eda9eb0f6e67fed3ff9
INFO: text_id: D4121   uid: 7324b1bf2d4e4649934da283423e6ab3
INFO: text_id: D4122   uid: 8995e6647e964be6a07e54c1494c86ba
INFO: text_id: D4124   uid: 854795d831e5420d976d76c27d011af3
INFO: text_id: D4125   uid: c0eb4873a19e440e9ffa0109fe548337
INFO: text_id: D4127   uid: bc9d2682804b4c9a9e3031ed071ffbc7
INFO: text_id: D4132   uid: bc9495c83e0342af8bc634c37881b03e
INFO: text_id: D4133   uid: 59b581cebdf04964bb8f6181d33a1f61
INFO: text_id: D4138   uid: 35af8888fb0049ed94d061b9e4bb61e2
INFO: text_id: D4139   uid: 8daf1837908e486490d52c09f1ef0037
INFO: text_id: D4151   uid: d9d3ce119db541af9651b859af77c256
INFO: text_id: D4158   uid: 94643e62b5964cdc99e5710fbfd32e82
INFO: text_id: D4160   uid: 359f669f0a7d4ff2a997f4123a9db1e7
INFO: text_id: D4161   uid: 20e1f0f0a2ec4620b3428baaacfed49f
INFO: text_id: D4162   uid: 63dc0eae07934729ba8be89a33960354
INFO: text_id: D4163   uid: d89ce914f7a3486887bfa3cc68f0de07
INFO: text_id: D4164   uid: 5afd76bc52214f4098fe410fc2b08809
INFO: text_id: D4166   uid: e15ac4c2bc354ee89d5283b1c020bfa9
INFO: text_id: D4180   uid: f7e491b5bbf64a54a9aaf65b914a9b12
INFO: text_id: D4182   uid: 8f72813071c94765840e30ffc6b7ab69
INFO: text_id: D4188   uid: 4f9a59566c38474da0b5dd6dac370485
INFO: text_id: D4203   uid: 0cca438dd8dd4c22943c5d6166a0b4a3
INFO: text_id: D4204   uid: 8aebffeb29ba4cbd8bb046ad7580bd01
INFO: text_id: D4205   uid: a8d6fb67ebea416da14ee0499144ad8b
